planting_date	restart_date	emergence_date	flowering_date	tuber_init_date	filling_date	peak_LAI_date	maturity_date	harvest_date	peak_LAI	daytime_VPD_avg	yield	used_biomass	grazed_biomass	residue_biomass	disposed_biomass	intercepted_PAR_accum	soil_loss	ET_pot	ET_act	ET_ref	transp_pot	transp_act	evap_soil_pot	evap_soil_act	evap_residue_pot	evap_residue_act	irrig	precip	air_temp_avg	crop_water_intrcpt	residue_water_intrcpt	surface_water_runoff	ponded_water	water_enter_soil	soil_water_drainage	soil_water_profile_init	soil_water_profile_final	produced_biomass	root_depth	root_biomass	surface_residue_BM	surface_plant_residue_BM	surface_manure_BM	incorporated_BM	incorporated_plant_residue_BM	incorporated_manure_BM	erosion_index	avg_water_stress_index	avg_temperature_stress_index	avg_flower_temp_stress_index	N_leached	N_applied	N_auto_uptake	N_available	N_mineralized_residue	N_mineralized_org_fert	N_mineralized_OM	N_immobilization	N_mineralization	N_organic_applied	N_organic_gaseous_loss	N_inorganic_gaseous_loss	N_fixation	N_uptake	N_mass_yield	N_stress_index_avg	N_nitrification	N_denitrification	N_soil_profile_initial	N_soil_profile_final	DegHr_above_30	DegHr_above_34	WUE	Srad	Tmax	Tmin	Tavg	days_to_flowering	duration_season	AW_150cm_init	AW_150cm_final	rotation	location	period	cycle
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      2.854493	                      1.516501	                      0.105853	                      0.000000	                      0.000000	                      0.539638	                      0.000000	                    963.641907	                      0.000000	                      0.702720	                      0.315382	                      0.643682	                      0.237894	                      0.154056	                      0.345955	                      0.161326	                      0.000000	                      0.000000	                      0.000000	                      0.175634	                     13.823554	                      0.008087	                      0.000000	                      0.000000	                      0.000000	                      0.167547	                      0.000000	                      0.466925	                      0.327177	                      0.645491	                      1.900000	                      0.064549	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.268351	                      0.011296	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.189971	                     22.961254	                     22.092428	                      5.471940	                     13.782185	                     52.000000	                    136.000000	                      0.155774	                      0.015583	sC-wW	45.7284N118.6464W	2010-2011	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      0.103892	                      1.520799	                      0.007534	                      0.000000	                      0.000000	                      0.027435	                      0.000000	                     55.688633	                      0.000000	                      0.610716	                      0.173531	                      0.608275	                      0.012340	                      0.007651	                      0.591175	                      0.165880	                      0.000000	                      0.000000	                      0.000000	                      0.173019	                     15.360590	                      0.001262	                      0.000000	                      0.000000	                      0.000000	                      0.171757	                      0.000000	                      0.352936	                      0.352424	                      0.034969	                      1.717111	                      0.003497	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.275600	                      0.049364	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.570347	                     22.828125	                     23.695250	                      6.939855	                     15.317552	                     52.000000	                    123.000000	                      0.041785	                      0.041264	sC-wW	45.7284N118.6464W	2011-2012	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      0.290715	                      1.596905	                      0.026213	                      0.000000	                      0.000000	                      0.088607	                      0.000000	                    171.521179	                      0.000000	                      0.657649	                      0.162190	                      0.650179	                      0.038171	                      0.026305	                      0.598498	                      0.135885	                      0.000000	                      0.000000	                      0.000000	                      0.139479	                     14.696881	                      0.003132	                      0.000000	                      0.000000	                      0.000000	                      0.136347	                      0.000000	                      0.370573	                      0.347863	                      0.114821	                      1.812777	                      0.011482	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.212956	                      0.091435	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.365010	                     21.794329	                     22.791378	                      6.577826	                     14.684601	                     60.000000	                    135.000000	                      0.059422	                      0.036642	sC-wW	45.7284N118.6464W	2012-2013	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      1.158237	                      1.728729	                      0.036331	                      0.000000	                      0.000000	                      0.213585	                      0.000000	                    550.969116	                      0.000000	                      0.711669	                      0.198652	                      0.682977	                      0.131915	                      0.058918	                      0.499903	                      0.139735	                      0.000000	                      0.000000	                      0.000000	                      0.143188	                     14.377084	                      0.005663	                      0.000000	                      0.000000	                      0.000000	                      0.137524	                      0.000000	                      0.375241	                      0.319370	                      0.249916	                      1.818230	                      0.024992	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.372514	                      0.028698	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.241785	                     22.536148	                     23.193039	                      5.505218	                     14.349129	                     55.000000	                    134.000000	                      0.064090	                      0.008171	sC-wW	45.7284N118.6464W	2013-2014	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      1.511763	                      1.632020	                      0.044993	                      0.000000	                      0.000000	                      0.327348	                      0.000000	                    669.721985	                      0.000000	                      0.696895	                      0.181864	                      0.660532	                      0.155586	                      0.082062	                      0.438442	                      0.099802	                      0.000000	                      0.000000	                      0.000000	                      0.115269	                     14.067003	                      0.008602	                      0.000000	                      0.000000	                      0.000000	                      0.106667	                      0.000000	                      0.390029	                      0.322932	                      0.372340	                      1.900000	                      0.037234	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.306798	                      0.067717	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.537285	                     20.538691	                     22.079905	                      5.947749	                     14.013826	                     65.000000	                    147.000000	                      0.078878	                      0.011589	sC-wW	45.7284N118.6464W	2014-2015	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      2.150826	                      1.318227	                      0.071729	                      0.000000	                      0.000000	                      0.364551	                      0.000000	                    835.103638	                      0.000000	                      0.666828	                      0.238540	                      0.620878	                      0.201498	                      0.092801	                      0.363859	                      0.145739	                      0.000000	                      0.000000	                      0.000000	                      0.177881	                     12.792375	                      0.014096	                      0.000000	                      0.000000	                      0.000000	                      0.163785	                      0.000000	                      0.392726	                      0.331426	                      0.436280	                      1.900000	                      0.043628	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.321496	                      0.104131	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.701248	                     19.683807	                     20.996120	                      4.525241	                     12.760680	                     65.000000	                    146.000000	                      0.081575	                      0.020025	sC-wW	45.7284N118.6464W	2015-2016	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      3.859136	                      1.524362	                      0.065133	                      0.000000	                      0.000000	                      0.640399	                      0.000000	                   1190.269897	                      0.000000	                      0.727843	                      0.224409	                      0.658418	                      0.313917	                      0.171559	                      0.275782	                      0.052849	                      0.000000	                      0.000000	                      0.000000	                      0.073469	                     15.801735	                      0.005632	                      0.000000	                      0.000000	                      0.000000	                      0.067837	                      0.006425	                      0.255632	                      0.097682	                      0.705532	                      0.970000	                      0.070553	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.321923	                      0.027542	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.112462	                     26.478275	                     23.554344	                      7.916159	                     15.735252	                     49.000000	                    114.000000	                      0.222398	                      0.014932	sC-wW	45.9784N120.1879W	2010-2011	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      4.392728	                      1.553060	                      0.053780	                      0.000000	                      0.000000	                      0.640041	                      0.000000	                   1396.612549	                      0.000000	                      0.790866	                      0.197566	                      0.712942	                      0.371907	                      0.143036	                      0.262731	                      0.054529	                      0.000000	                      0.000000	                      0.000000	                      0.075070	                     15.924622	                      0.010725	                      0.000000	                      0.000000	                      0.000000	                      0.064344	                      0.000000	                      0.216532	                      0.094036	                      0.693821	                      0.970000	                      0.069382	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.378701	                      0.076489	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.850656	                     25.739901	                     23.489393	                      8.246905	                     15.868149	                     60.000000	                    123.000000	                      0.123027	                      0.001735	sC-wW	45.9784N120.1879W	2011-2012	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      2.092173	                      1.721941	                      0.036993	                      0.000000	                      0.000000	                      0.426562	                      0.000000	                    900.964905	                      0.000000	                      0.802056	                      0.196017	                      0.748377	                      0.237015	                      0.103521	                      0.446151	                      0.092496	                      0.000000	                      0.000000	                      0.000000	                      0.107664	                     15.114050	                      0.007841	                      0.000000	                      0.000000	                      0.000000	                      0.099824	                      0.000000	                      0.184991	                      0.096008	                      0.463555	                      0.970000	                      0.046356	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.380094	                      0.029992	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.477888	                     25.231371	                     22.597446	                      7.563905	                     15.080675	                     50.000000	                    130.000000	                      0.091486	                      0.003651	sC-wW	45.9784N120.1879W	2012-2013	0
Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	Date omitted	                      1.649161	                      1.712210	                      0.039683	                      0.000000	                      0.000000	                      0.365884	                      0.000000	                    778.494568	                      0.000000	                      0.804094	                      0.140480	                      0.759463	                      0.200835	                      0.091092	                      0.492611	                      0.049388	                      0.000000	                      0.000000	                      0.000000	                      0.050076	                     16.234129	                      0.003772	                      0.000000	                      0.000000	                      0.000000	                      0.046304	                      0.000000	                      0.188760	                      0.097821	                      0.405568	                      0.970000	                      0.040557	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.392466	                      0.005454	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.452281	                     26.356188	                     22.786531	                      9.565075	                     16.175802	                     47.000000	                    125.000000	                      0.095255	                      0.005431	sC-wW	45.9784N120.1879W	2013-2014	0
